l:per:error
0.95:1.96:0.08
0.35:1.21:0.06
0.45:1.37:0.07
0.85:1.88:0.06
0.25:1.01:0.05
0.15:0.84:0.05
0.55:1.45:0.06
0.65:1.63:0.09
0.75:1.70:0.06
