1	1569952002709	-0.166	0.003	9.892	0
2	1569952002710	-0.115	-0.01	9.867	0
3	1569952002711	-0.044	-0.002	9.895	0
4	1569952002715	-0.027	0.001	9.932	0
5	1569952002731	-0.05	0.005	9.909	0
6	1569952002735	-0.09	0.019	9.882	0
7	1569952002748	-0.128	-0.134	9.868	0
8	1569952002755	-0.128	-0.002	9.893	0
9	1569952002766	-0.123	0.018	9.893	0
10	1569952002778	-0.094	0.006	9.888	0
11	1569952002785	-0.054	-0.009	9.891	0
12	1569952002799	-0.034	-0.012	9.902	0
13	1569952002809	-0.105	0.006	9.877	0
14	1569952002816	-0.105	0.006	9.877	0
15	1569952002831	-0.136	-0.001	9.867	0
16	1569952002835	-0.098	0.01	9.905	0
17	1569952002848	-0.077	0.022	9.898	0
18	1569952002855	-0.069	0.004	9.89	0
19	1569952002870	-0.078	-0.002	9.886	0
20	1569952002880	-0.099	-0.006	9.895	0
21	1569952002885	-0.106	0.013	9.909	0
22	1569952002902	-0.113	0.005	9.885	0
23	1569952002905	-0.087	0.008	9.909	0
24	1569952002915	-0.074	0.004	9.884	0
25	1569952002928	-0.074	0.005	9.898	0
26	1569952002935	-0.08	-0.008	9.892	0
27	1569952002948	-0.098	0.003	9.913	0
28	1569952002955	-0.103	-0.007	9.886	0
29	1569952002965	-0.095	0.008	9.884	0
30	1569952002978	-0.093	0.006	9.882	0
31	1569952002985	-0.082	0.006	9.908	0
32	1569952002995	-0.084	0.01	9.886	0
33	1569952003005	-0.104	0.004	9.886	0
34	1569952003015	-0.102	0.005	9.872	0
35	1569952003027	-0.09	-0.011	9.888	0
36	1569952003035	-0.09	-0.001	9.912	0
37	1569952003045	-0.097	0.002	9.886	0
38	1569952003055	-0.09	0.004	9.901	0
39	1569952003065	-0.085	-0.024	9.901	0
40	1569952003077	-0.095	0.011	9.887	0
41	1569952003085	-0.095	-0.011	9.901	0
42	1569952003095	-0.087	0.011	9.889	0
43	1569952003105	-0.079	-0.002	9.888	0
44	1569952003115	-0.087	0.004	9.891	0
45	1569952003125	-0.076	-0.009	9.882	0
46	1569952003135	-0.097	-0.002	9.89	0
47	1569952003145	-0.09	-0.002	9.883	0
48	1569952003155	-0.099	0.001	9.897	0
49	1569952003165	-0.082	0.011	9.901	0
50	1569952003175	-0.083	-0.002	9.887	0
51	1569952003185	-0.102	0.014	9.888	0
52	1569952003195	-0.095	0.001	9.898	0
53	1569952003205	-0.093	0.008	9.896	0
54	1569952003215	-0.071	0.002	9.898	0
55	1569952003225	-0.084	0.007	9.898	0
56	1569952003235	-0.093	-0.008	9.9	0
57	1569952003245	-0.083	0.003	9.881	0
58	1569952003255	-0.09	0.002	9.889	0
59	1569952003265	-0.095	0.01	9.895	0
60	1569952003275	-0.084	0.003	9.896	0
61	1569952003285	-0.074	-0.003	9.889	0
62	1569952003295	-0.094	0.019	9.886	0
63	1569952003305	-0.083	0.019	9.9	0
64	1569952003315	-0.083	0.013	9.902	0
65	1569952003325	-0.082	0.009	9.902	0
66	1569952003335	-0.092	-0.004	9.903	0
67	1569952003346	-0.087	0.02	9.876	0
68	1569952003355	-0.099	0.005	9.893	0
69	1569952003365	-0.092	0.005	9.886	0
70	1569952003375	-0.081	0.001	9.887	0
71	1569952003385	-0.074	0.004	9.881	0
72	1569952003395	-0.101	-0.01	9.894	0
73	1569952003405	-0.099	-0.002	9.898	0
74	1569952003415	-0.092	-0.003	9.895	0
75	1569952003425	-0.102	0.008	9.88	0
76	1569952003435	-0.088	-0.002	9.896	0
77	1569952003445	-0.076	0.005	9.901	0
78	1569952003455	-0.087	-0.001	9.887	0
79	1569952003465	-0.085	-0.005	9.881	0
80	1569952003475	-0.085	-0.01	9.889	0
81	1569952003485	-0.087	0.004	9.888	0
82	1569952003495	-0.084	0.017	9.905	0
83	1569952003505	-0.084	0.008	9.89	0
84	1569952003515	-0.08	-0.007	9.88	0
85	1569952003525	-0.073	0.001	9.898	0
86	1569952003535	-0.09	0.016	9.886	0
87	1569952003545	-0.105	-0.002	9.884	0
88	1569952003555	-0.093	-0.007	9.899	0
89	1569952003565	-0.093	0.002	9.898	0
90	1569952003575	-0.083	0.002	9.902	0
91	1569952003585	-0.087	0.004	9.887	0
92	1569952003595	-0.086	0.005	9.898	0
93	1569952003606	-0.085	-0.004	9.886	0
94	1569952003615	-0.085	-0.007	9.88	0
95	1569952003625	-0.084	0.002	9.866	0
96	1569952003635	-0.076	0.011	9.896	0
97	1569952003645	-0.095	0.005	9.879	0
98	1569952003655	-0.087	0.009	9.882	0
99	1569952003665	-0.09	-0.002	9.904	0
100	1569952003675	-0.091	0.005	9.884	0
101	1569952003685	-0.077	0.001	9.892	0
102	1569952003695	-0.083	0.003	9.875	0
103	1569952003705	-0.087	0.006	9.881	0
104	1569952003715	-0.072	-0.012	9.895	0
105	1569952003725	-0.089	0.01	9.904	0
106	1569952003735	-0.08	-0.013	9.881	0
107	1569952003745	-0.08	-0.003	9.89	0
108	1569952003755	-0.081	-0.002	9.893	0
109	1569952003765	-0.092	0.008	9.89	0
110	1569952003775	-0.104	0.009	9.886	0
111	1569952003785	-0.098	0.008	9.882	0
112	1569952003795	-0.089	0.01	9.898	0
113	1569952003805	-0.092	0.01	9.894	0
114	1569952003815	-0.083	0.011	9.91	0
115	1569952003825	-0.085	0.003	9.895	0
116	1569952003835	-0.089	0.014	9.874	0
