"Atrig","Aacel","sAacel"
0,0,0.01
0.189691552022381,0.195943853259441,0.0170221993991883
0.247834438323955,0.246478453748072,0.0172060299950966
0.298137790395668,0.293406779708829,0.0194952922120218
0.351875020460521,0.346708206683479,0.0292698289600663
0.395999122132168,0.391539669824934,0.0170310089078998
0.451800861796152,0.44563635626535,0.0473489142198556
0.512817084830321,0.507385443762624,0.0295386728203413
0.572221600786807,0.564979230170783,0.0472417460935123
0.629373320396397,0.623901920273584,0.047468937095896
0.690972288477242,0.686400133577179,0.143880273155465
0.826319096112634,0.822587280270035,0.071341031579635
0.984968814977599,0.980471717722559,0.0946940298216694
1.20305831814232,1.20361407486458,0.15930277309155
